id;user_id;date;ticker;price;currency;order_type;quantity
1;1;01-03-2025;NOVO-B;710,5;DKK;buy;20
2;2;02-03-2025;VWS;197;DKK;buy;50
3;3;02-03-2025;DANSKE;186;DKK;buy;30
4;4;03-03-2025;PANDORA;770,5;DKK;buy;10
5;5;03-03-2025;COLO-B;928,5;DKK;buy;15
6;6;04-03-2025;GN;207;DKK;buy;25
7;7;05-03-2025;TOP;347,5;DKK;buy;35
8;8;05-03-2025;DSV;1343;DKK;buy;5
9;9;06-03-2025;AMBU-B;125,5;DKK;buy;40
10;10;06-03-2025;CARL-B;947;DKK;buy;12
11;1;07-03-2025;ORSTED;444;DKK;buy;18
12;2;08-03-2025;NETC;356;DKK;buy;22
13;3;08-03-2025;ROCK-B;2203,75;DKK;buy;3
14;4;09-03-2025;ALK-B;1226;DKK;buy;8
15;5;10-03-2025;NKT;602,5;DKK;buy;14
16;6;10-03-2025;JYSK;445;DKK;buy;16
17;7;11-03-2025;ISS;137;DKK;buy;60
18;8;11-03-2025;TRYG;169;DKK;buy;28
19;9;12-03-2025;NZYM-B;338;DKK;buy;20
20;10;12-03-2025;SIM;708;DKK;buy;7
21;1;01-03-2025;NOVO-B;715;DKK;sell;20
22;2;02-03-2025;VWS;200;DKK;sell;50
23;1;07-05-2025;ORSTED;456.0;DKK;sell;18
24;1;07-05-2025;PANDORA;765.0;DKK;buy;30
25;1;07-05-2025;PANDORA;765.0;DKK;sell;25
26;1;07-05-2025;PANDORA;765.0;DKK;sell;3
27;1;07-05-2025;NKT;615.0;DKK;buy;10
28;1;07-05-2025;NKT;615.0;DKK;sell;10
29;1;07-05-2025;PANDORA;765.0;DKK;sell;2
30;1;07-05-2025;JYSK;453.0;DKK;buy;5
31;1;07-05-2025;JYSK;453.0;DKK;sell;5
32;1;07-05-2025;AMBU-B;124.0;DKK;buy;300
33;1;09-05-2025;NKT;82.5503355704698;EUR;buy;20
34;1;09-05-2025;JYSK;60.80536912751678;EUR;buy;30
35;1;09-05-2025;AMBU-B;16.644295302013422;EUR;sell;150
36;1;09-05-2025;APPL;197.49;USD;buy;10
37;11;12-05-2025;APPL;1362.681;DKK;buy;5
